Scientific name,Family,Svenskt namn,Dyntaxa ID number,Establishment,Red-listed,Time of immigration,Index of invasive concern,Biodiversity relevance,Nectar production,Heat requirement,Cold requirement,Temp. optimum,Continentality,Light,Moisture,Soil reaction (pH),Nitrogen (N),Phosphorus (P),Salinity,Grazing/mowing,Soil disturbance,Longevity,Pollinator dependence,Phenology,Extreme phenology,Seed dormancy,Seed bank,Seed disperser,Nitrogen fixation,Photosynthetic pathway,Mycorrhiza,Carnivory,Parasitism,Unnamed: 34,1 Siliceous rock,2 Ultrabasic rock,3 Calcareous rock,4 Dry heath,5. Dry meadow,6 Steppic meadow,7 Sand steppe,8 Moist heath,9 Moist meadow,10 Moist calcareous meadow,11 Raised bog,12 Poor/acidic fen,13 Intermediate-rich fen,14 Rich/calcareous fen,15 Tall herb/sedge/reed meadow,16 Oligotrophic water & shores,17 Mesotrophic water & shores,18 Eutrophic water & shores,19 sandy/stony/rocky sea shores,20 Sea shore meadows,21 Base-poor wasteland,22 Base-rich wasteland,23. Arable land,24 Gravelly ground,25 Ruderal,"26 Hedgerows, thickets, wood-margins and groves",27 Heath-type deciduous forest,28 Intermediate deciduous forest,29 Herb-rich deciduous forest,30 Alnus glutinosa swamp,31 Fraxinus/Ulmus/Alnus incana swamp,32 Pinus/Betula swamp,33 Picea swamp,34 Heath-type coniferous forest,35 Vaccinium-type coniferous forest,36 Herb-rich coniferous forest,37 Cacareous conifer forest,38 Subalpine Betula forest,taxonKey
Abies alba Mill.,Pinaceae,silvergran,222135.0,Resident,Not Red-listed,5.0,14,5.0,1.0,10.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,0b,,,4,,AirW,0.0,C3,EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,2685484
Abies grandis (Douglas ex D. Don) Lindl.,Pinaceae,kustgran,222138.0,Non-resident,Not Red-listed,,,5.0,1.0,10.0,4.0,6.0,4.0,3.0,,,5.0,3.0,1.0,1.0,1.0,4.0,0b,,,4,,AirW,0.0,C3,EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,2685361
Acer campestre L.,Sapindaceae,naverlönn,5.0,Resident,CR,0.0,0,6.0,6.0,13.0,2.0,3.0,5.0,4.0,4.0,6.0,6.0,3.0,1.0,2.0,5.0,4.0,0c,6.0,3.0,4,1.0,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3189863
Acer negundo L.,Sapindaceae,asklönn,223314.0,Non-resident,Not Red-listed,,,2.0,,10.0,3.0,5.0,7.0,,,,,3.0,1.0,2.0,,4.0,0b,,,4,,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3189866
Acer platanoides L.,Sapindaceae,skogslönn,223315.0,Resident,Not Red-listed,0.0,0,5.0,6.0,9.0,4.0,7.0,5.0,4.0,4.0,6.0,5.0,3.0,1.0,2.0,5.0,4.0,2,5.0,4.0,4,1.0,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,1,0,3189846
Acer pseudoplatanus L.,Sapindaceae,tysklönn,223316.0,Resident,Not Red-listed,3.0,14.2,6.0,5.0,12.0,3.0,4.0,3.0,4.0,5.0,6.0,7.0,3.0,1.0,3.0,3.0,4.0,0c,6.0,3.0,4,1.0,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,3189870
Acer tataricum L.,Sapindaceae,tatarlönn,223319.0,Non-resident,Not Red-listed,,,3.0,5.0,10.0,4.0,6.0,5.0,,,,6.0,3.0,1.0,2.0,,4.0,2,,,2,,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3189843
Achillea crithmifolia Waldst. & Kit.,Asteraceae,kamröllika,219899.0,Resident,Not Red-listed,5.0,13.6,1.0,6.0,12.0,,,6.0,7.0,2.0,5.0,4.0,3.0,1.0,3.0,,4.0,2,,,2,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,5,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8059665
Achillea filipendulina Lam.,Asteraceae,praktröllika,219902.0,Resident,Not Red-listed,4.0,13.6,4.0,6.0,12.0,3.0,4.0,8.0,6.0,2.0,6.0,4.0,4.0,2.0,3.0,,4.0,2,10.0,3.0,2,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3120284
Achillea millefolium L.,Asteraceae,röllika,219906.0,Resident,Not Red-listed,0.0,0,6.0,6.0,3.0,3.0,9.0,5.0,6.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,4.0,2,8.0,1.0,2,3.0,Myr,0.0,C3,AM,0.0,0.0,,1,1,1,1,1,1.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120060
Achillea ptarmica L.,Asteraceae,nysört,219909.0,Resident,Not Red-listed,0.0,0,5.0,6.0,4.0,3.0,8.0,4.0,5.0,6.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,2,9.0,2.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,2,1,0.0,0.0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3120333
Aconitum × stoerkianum Rchb.,Ranunculaceae,trädgårdsstormhatt,222767.0,Resident,Not Red-listed,3.0,10,2.0,6.0,7.0,4.0,8.0,5.0,5.0,7.0,5.0,6.0,3.0,1.0,3.0,3.0,4.0,0a,11.0,4.0,X,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3920712
Aconitum lycoctonum L.,Ranunculaceae,vargstormhatt,219914.0,Resident,Not Red-listed,0.0,0,2.0,6.0,3.0,11.0,14.0,6.0,4.0,5.0,7.0,7.0,5.0,1.0,3.0,2.0,4.0,1b,,,4,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3033675
Aconitum napellus L.,Ranunculaceae,äkta stormhatt,6.0,Resident,CR,1.0,4,3.0,6.0,9.0,3.0,6.0,4.0,5.0,7.0,6.0,6.0,4.0,1.0,3.0,3.0,4.0,,11.0,4.0,3,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3033665
Aconogonon × fennicum Reiersen,Polygonaceae,finnslide,220614.0,Non-resident,Not Red-listed,,,1.0,5.0,8.0,15.0,13.0,5.0,5.0,6.0,4.0,7.0,5.0,1.0,1.0,,4.0,0c,9.0,2.0,X,,Veg,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4035232
Aconogonon alpinum (All.) Schur,Polygonaceae,alpslide,222769.0,Resident,Not Red-listed,5.0,9.5,1.0,5.0,6.0,7.0,10.0,4.0,6.0,5.0,4.0,6.0,5.0,1.0,1.0,,4.0,,,,,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6391404
Aconogonon divaricatum (L.) Nakai,Polygonaceae,vippslide,220615.0,Resident,Not Red-listed,5.0,11.3,1.0,5.0,8.0,1.0,7.0,8.0,6.0,6.0,4.0,6.0,5.0,1.0,1.0,,4.0,,11.0,4.0,2,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7291572
Aconogonon weyrichii (F. Schmidt ex Maxim.) H. Hara,Polygonaceae,gråslide,220616.0,Non-resident,Not Red-listed,,,1.0,5.0,8.0,7.0,9.0,7.0,5.0,6.0,4.0,7.0,5.0,1.0,1.0,,4.0,,8.0,1.0,X,,Veg,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7291480
Acorus calamus L.,Acoraceae,kalmus,220617.0,Resident,Not Red-listed,1.0,4,1.0,2.0,10.0,1.0,3.0,5.0,5.0,10.0,5.0,7.0,5.0,1.0,3.0,1.0,4.0,0a,9.0,2.0,X,,Veg,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873769
Actaea erythrocarpa (Fisch.) Kom.,Ranunculaceae,röd trolldruva,8.0,Resident,NT,0.0,0,1.0,2.0,4.0,12.0,14.0,9.0,3.0,6.0,7.0,6.0,3.0,1.0,1.0,3.0,4.0,1,,,3,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,7613626
