Scientific name,Family,Svenskt namn,Dyntaxa ID number,Establishment,Red-listed,Time of immigration,Index of invasive concern,Biodiversity relevance,Nectar production,Heat requirement,Cold requirement,Temp. optimum,Continentality,Light,Moisture,Soil reaction (pH),Nitrogen (N),Phosphorus (P),Salinity,Grazing/mowing,Soil disturbance,Longevity,Pollinator dependence,Phenology,Extreme phenology,Seed dormancy,Seed bank,Seed disperser,Nitrogen fixation,Photosynthetic pathway,Mycorrhiza,Carnivory,Parasitism,Unnamed: 34,1 Siliceous rock,2 Ultrabasic rock,3 Calcareous rock,4 Dry heath,5. Dry meadow,6 Steppic meadow,7 Sand steppe,8 Moist heath,9 Moist meadow,10 Moist calcareous meadow,11 Raised bog,12 Poor/acidic fen,13 Intermediate-rich fen,14 Rich/calcareous fen,15 Tall herb/sedge/reed meadow,16 Oligotrophic water & shores,17 Mesotrophic water & shores,18 Eutrophic water & shores,19 sandy/stony/rocky sea shores,20 Sea shore meadows,21 Base-poor wasteland,22 Base-rich wasteland,23. Arable land,24 Gravelly ground,25 Ruderal,"26 Hedgerows, thickets, wood-margins and groves",27 Heath-type deciduous forest,28 Intermediate deciduous forest,29 Herb-rich deciduous forest,30 Alnus glutinosa swamp,31 Fraxinus/Ulmus/Alnus incana swamp,32 Pinus/Betula swamp,33 Picea swamp,34 Heath-type coniferous forest,35 Vaccinium-type coniferous forest,36 Herb-rich coniferous forest,37 Cacareous conifer forest,38 Subalpine Betula forest
Abies alba Mill.,Pinaceae,silvergran,222135.0,Resident,Not Red-listed,5.0,14,5.0,1.0,10.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,0b,,,4,,AirW,0.0,C3,EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0
Abies grandis (Douglas ex D. Don) Lindl.,Pinaceae,kustgran,222138.0,Non-resident,Not Red-listed,,,5.0,1.0,10.0,4.0,6.0,4.0,3.0,,,5.0,3.0,1.0,1.0,1.0,4.0,0b,,,4,,AirW,0.0,C3,EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0
Acer campestre L.,Sapindaceae,naverlönn,5.0,Resident,CR,0.0,0,6.0,6.0,13.0,2.0,3.0,5.0,4.0,4.0,6.0,6.0,3.0,1.0,2.0,5.0,4.0,0c,6.0,3.0,4,1.0,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Acer negundo L.,Sapindaceae,asklönn,223314.0,Non-resident,Not Red-listed,,,2.0,,10.0,3.0,5.0,7.0,,,,,3.0,1.0,2.0,,4.0,0b,,,4,,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer platanoides L.,Sapindaceae,skogslönn,223315.0,Resident,Not Red-listed,0.0,0,5.0,6.0,9.0,4.0,7.0,5.0,4.0,4.0,6.0,5.0,3.0,1.0,2.0,5.0,4.0,2,5.0,4.0,4,1.0,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,1,0
Acer pseudoplatanus L.,Sapindaceae,tysklönn,223316.0,Resident,Not Red-listed,3.0,14.2,6.0,5.0,12.0,3.0,4.0,3.0,4.0,5.0,6.0,7.0,3.0,1.0,3.0,3.0,4.0,0c,6.0,3.0,4,1.0,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0
Acer tataricum L.,Sapindaceae,tatarlönn,223319.0,Non-resident,Not Red-listed,,,3.0,5.0,10.0,4.0,6.0,5.0,,,,6.0,3.0,1.0,2.0,,4.0,2,,,2,,AirW,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
Achillea crithmifolia Waldst. & Kit.,Asteraceae,kamröllika,219899.0,Resident,Not Red-listed,5.0,13.6,1.0,6.0,12.0,,,6.0,7.0,2.0,5.0,4.0,3.0,1.0,3.0,,4.0,2,,,2,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,5,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achillea filipendulina Lam.,Asteraceae,praktröllika,219902.0,Resident,Not Red-listed,4.0,13.6,4.0,6.0,12.0,3.0,4.0,8.0,6.0,2.0,6.0,4.0,4.0,2.0,3.0,,4.0,2,10.0,3.0,2,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Achillea millefolium L.,Asteraceae,röllika,219906.0,Resident,Not Red-listed,0.0,0,6.0,6.0,3.0,3.0,9.0,5.0,6.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,4.0,2,8.0,1.0,2,3.0,Myr,0.0,C3,AM,0.0,0.0,,1,1,1,1,1,1.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
